[SUMMARY]
Software Information
Software Name:	UVProbe
2438.0	0.240
2440.0	0.244
2442.0	0.366
2444.0	0.029
2446.0	-0.063
2448.0	0.031
2450.0	0.064
2452.0	-0.002
2454.0	0.098
2456.0	0.262
2458.0	0.066
2460.0	0.067
2462.0	0.032
2464.0	-0.172
2466.0	-0.104
2468.0	0.035
2470.0	-0.037
2472.0	-0.291
2474.0	-0.294
2476.0	-0.261
2478.0	-0.224
2480.0	-0.114
2482.0	-0.198
2484.0	-0.079
2486.0	-0.130
2488.0	-0.002
2490.0	0.127
2492.0	-0.165
2494.0	-0.124
2496.0	-0.153
2498.0	-0.262
2500.0	-0.220
